Record Type,Date and Time,Epoch,Tree Num,Direction,Note,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Distribution [Χ],Extinction Coefficient [K],Leaf Area Index [LAI],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude,
SUM,4/2/2022 1:28:03 PM,1648906083,2342,S,NOT CLOUDY,1865.460397,1172.4,0.628,1.00,0.588,0.66,0.53,31°,34°,-120°,
SUM,4/2/2022 1:28:51 PM,1648906131,2342,Round,22 mnts,1850.346163,590.1,0.319,1.00,0.588,1.43,0.21,31°,34°,-120°,
SUM,4/2/2022 1:30:32 PM,1648906232,2341,S,,1820.980122,1547.0,0.850,1.00,0.582,0.27,0.82,30°,34°,-120°,
SUM,4/2/2022 1:31:09 PM,1648906269,2341,W,,1813.081787,1150.6,0.635,1.00,0.582,0.66,0.57,30°,34°,-120°,
SUM,4/2/2022 1:31:29 PM,1648906289,2341,N,shaded by trunk,1809.524521,202.0,0.112,1.00,0.582,2.56,0.02,30°,34°,-120°,
SUM,4/2/2022 1:31:48 PM,1648906308,2341,E,,1806.605221,1274.2,0.705,1.00,0.582,0.53,0.66,30°,34°,-120°,
SUM,4/2/2022 1:32:40 PM,1648906360,2341,Round,22 mnts,1800.891492,1090.1,0.605,1.00,0.582,0.72,0.52,30°,34°,-120°,
SUM,4/2/2022 1:36:41 PM,1648906601,2366,S,,1812.661887,463.0,0.255,1.00,0.582,1.59,0.00,30°,34°,-120°,
SUM,4/2/2022 1:37:25 PM,1648906645,2366,W,,1814.68763,270.4,0.149,1.00,0.582,2.23,0.02,30°,34°,-120°,
SUM,4/2/2022 1:37:36 PM,1648906656,2366,N,not shaded,1814.548437,950.0,0.524,1.00,0.582,0.85,0.33,30°,34°,-120°,
SUM,4/2/2022 1:38:06 PM,1648906686,2366,E,,1812.425294,681.9,0.376,1.00,0.582,1.16,0.07,30°,34°,-120°,
SUM,4/2/2022 1:39:40 PM,1648906780,2366,Round,25 mnts,1782.764602,721.8,0.405,1.00,0.582,1.13,0.20,30°,34°,-120°,
SUM,4/2/2022 1:41:22 PM,1648906882,2364,S,,1701.159799,373.6,0.220,1.00,0.582,1.77,0.02,30°,34°,-120°,
SUM,4/2/2022 1:41:47 PM,1648906907,2364,W,,1677.505896,499.5,0.298,1.00,0.582,1.41,0.00,30°,34°,-120°,
SUM,4/2/2022 1:42:10 PM,1648906930,2364,N,not shaded,1656.383657,420.3,0.254,1.00,0.582,1.60,0.02,30°,34°,-120°,
SUM,4/2/2022 1:43:05 PM,1648906985,2364,E,,1613.482,960.7,0.595,1.00,0.582,0.67,0.29,30°,34°,-120°,
SUM,4/2/2022 1:44:04 PM,1648907044,2364,Round,22 mnts,1590.07298,704.1,0.443,1.00,0.582,1.10,0.41,30°,34°,-120°,
SUM,4/2/2022 1:44:47 PM,1648907087,2363,S,,1595.742405,1635.9,1.025,1.00,0.582,-0.04,0.84,30°,34°,-120°,
SUM,4/2/2022 1:45:24 PM,1648907124,2363,W,,1620.277593,569.4,0.351,1.00,0.582,1.22,0.00,30°,34°,-120°,
SUM,4/2/2022 1:45:40 PM,1648907140,2363,N,not shaded,1636.141373,1398.0,0.854,1.00,0.582,0.25,0.72,30°,34°,-120°,
SUM,4/2/2022 1:46:01 PM,1648907161,2363,E,,1660.583723,439.9,0.265,1.00,0.582,1.55,0.02,30°,34°,-120°,
SUM,4/2/2022 1:46:42 PM,1648907202,2363,Round,,1715.938961,834.3,0.486,1.00,0.582,0.84,0.00,30°,34°,-120°,
SUM,4/2/2022 1:47:17 PM,1648907237,2361,S,,1765.700753,573.1,0.325,1.00,0.582,1.31,0.01,30°,34°,-120°,
SUM,4/2/2022 1:47:48 PM,1648907268,2361,W,,1807.053131,1346.3,0.745,1.00,0.582,0.46,0.71,30°,34°,-120°,
SUM,4/2/2022 1:48:01 PM,1648907281,2361,N,shaded by trunk,1822.673362,227.1,0.125,1.00,0.582,2.44,0.02,30°,34°,-120°,
SUM,4/2/2022 1:48:17 PM,1648907297,2361,E,,1839.910683,1035.7,0.563,1.00,0.582,0.77,0.39,30°,34°,-120°,
SUM,4/2/2022 1:48:58 PM,1648907338,2361,Round,21 mnts,1870.5952,990.7,0.530,1.00,0.582,0.81,0.26,30°,34°,-120°,
SUM,4/6/2022 12:17:58 PM,1649247478,2004,S,,1831.495648,413.9,0.226,1.00,0.582,1.73,0.01,30°,34°,-120°,
SUM,4/6/2022 12:18:22 PM,1649247502,2004,W,,1832.193238,132.5,0.072,1.00,0.582,3.07,0.02,30°,34°,-120°,
SUM,4/6/2022 12:18:39 PM,1649247519,2004,N,shaded by trunk,1832.669044,70.8,0.039,1.00,0.582,3.81,0.02,30°,34°,-120°,
SUM,4/6/2022 12:18:58 PM,1649247538,2004,E,,1833.181683,285.8,0.156,1.00,0.582,2.17,0.02,30°,34°,-120°,
SUM,4/6/2022 12:20:07 PM,1649247607,2005,S,,1834.855392,552.2,0.301,1.00,0.582,1.40,0.00,30°,34°,-120°,
SUM,4/6/2022 12:21:48 PM,1649247708,2005,W,,1836.806024,929.9,0.506,1.00,0.576,0.90,0.33,29°,34°,-120°,
SUM,4/6/2022 12:22:12 PM,1649247732,2005,N,shaded by trunk,1837.217282,163.1,0.089,1.00,0.576,2.83,0.02,29°,34°,-120°,
SUM,4/6/2022 12:22:47 PM,1649247767,2005,E,,1837.804337,776.6,0.423,1.00,0.576,1.05,0.14,29°,34°,-120°,
SUM,4/6/2022 12:26:21 PM,1649247981,2006,S,,1842.025131,168.0,0.091,1.00,0.576,2.80,0.02,29°,34°,-120°,
SUM,4/6/2022 12:26:34 PM,1649247994,2006,W,,1842.341554,319.5,0.173,1.00,0.576,2.05,0.02,29°,34°,-120°,
SUM,4/6/2022 12:26:54 PM,1649248014,2006,N,not shaded,1842.83703,687.7,0.373,1.00,0.576,1.16,0.04,29°,34°,-120°,
SUM,4/6/2022 12:27:15 PM,1649248035,2006,E,,1843.366109,446.1,0.242,1.00,0.576,1.66,0.02,29°,34°,-120°,
SUM,4/6/2022 12:27:49 PM,1649248069,2007,S,,1844.234392,427.3,0.232,1.00,0.576,1.71,0.02,29°,34°,-120°,
SUM,4/6/2022 12:28:09 PM,1649248089,2007,W,,1844.747564,915.2,0.496,1.00,0.576,0.90,0.27,29°,34°,-120°,
SUM,4/6/2022 12:28:27 PM,1649248107,2007,N,not shaded,1845.208318,346.6,0.188,1.00,0.576,1.96,0.02,29°,34°,-120°,
SUM,4/6/2022 12:28:55 PM,1649248135,2007,E,,1845.91843,440.7,0.239,1.00,0.576,1.67,0.01,29°,34°,-120°,
SUM,4/6/2022 12:29:26 PM,1649248166,2008,S,,1846.687706,1281.4,0.694,1.00,0.576,0.56,0.65,29°,34°,-120°,
SUM,4/6/2022 12:29:42 PM,1649248182,2008,W,,1847.074781,914.0,0.495,1.00,0.576,0.90,0.27,29°,34°,-120°,
SUM,4/6/2022 12:29:58 PM,1649248198,2008,N,not shaded,1847.453344,521.9,0.282,1.00,0.576,1.48,0.02,29°,34°,-120°,
SUM,4/6/2022 12:30:22 PM,1649248222,2008,E,,1848.003029,1158.3,0.627,1.00,0.576,0.68,0.54,29°,34°,-120°,
SUM,4/6/2022 12:36:32 PM,1649248592,2014,S,,1854.234621,1337.9,0.722,1.00,0.576,0.51,0.69,29°,34°,-120°,
SUM,4/6/2022 12:36:48 PM,1649248608,2014,W,,1854.435813,408.1,0.220,1.00,0.576,1.77,0.02,29°,34°,-120°,
SUM,4/6/2022 12:37:05 PM,1649248625,2014,N,not shaded,1854.64614,1331.0,0.718,1.00,0.576,0.53,0.72,29°,34°,-120°,
SUM,4/6/2022 12:37:47 PM,1649248667,2014,E,,1855.153096,1462.9,0.789,1.00,0.576,0.38,0.74,29°,34°,-120°,
SUM,4/6/2022 12:38:10 PM,1649248690,2013,S,,1855.424731,228.1,0.123,1.00,0.571,2.45,0.02,28°,34°,-120°,
SUM,4/6/2022 12:38:31 PM,1649248711,2013,W,,1855.670123,201.8,0.109,1.00,0.571,2.60,0.02,28°,34°,-120°,
SUM,4/6/2022 12:38:49 PM,1649248729,2013,N,not shaded,1855.879058,936.8,0.505,1.00,0.571,0.88,0.28,28°,34°,-120°,
SUM,4/6/2022 12:39:08 PM,1649248748,2013,E,,1856.09875,271.2,0.146,1.00,0.571,2.25,0.02,28°,34°,-120°,
SUM,4/6/2022 12:40:19 PM,1649248819,2012,S,,1856.921253,707.5,0.381,1.00,0.571,1.14,0.05,28°,34°,-120°,
SUM,4/6/2022 12:40:45 PM,1649248845,2012,W,,1857.226152,439.2,0.236,1.00,0.571,1.69,0.02,28°,34°,-120°,
SUM,4/6/2022 12:40:57 PM,1649248857,2012,N,not shaded,1857.36777,986.6,0.531,1.00,0.571,0.84,0.35,28°,34°,-120°,
SUM,4/6/2022 12:41:17 PM,1649248877,2012,E,,1857.605146,521.6,0.281,1.00,0.571,1.49,0.02,28°,34°,-120°,
SUM,4/6/2022 12:42:18 PM,1649248938,2015,S,,1858.340677,643.6,0.346,1.00,0.571,1.24,0.03,28°,34°,-120°,
SUM,4/6/2022 12:42:56 PM,1649248976,2015,W,,1858.808761,1876.3,1.009,1.00,0.571,-0.02,0.91,28°,34°,-120°,
SUM,4/6/2022 12:43:18 PM,1649248998,2015,N,not shaded,1859.083618,653.4,0.351,1.00,0.571,1.24,0.05,28°,34°,-120°,
SUM,4/6/2022 12:43:38 PM,1649249018,2015,E,,1859.336111,1044.6,0.562,1.00,0.571,0.79,0.41,28°,34°,-120°,
SUM,4/6/2022 12:44:21 PM,1649249061,1478,S,,1859.887996,1689.6,0.908,1.00,0.571,0.17,0.85,28°,34°,-120°,
SUM,4/6/2022 12:44:44 PM,1649249084,1478,W,,1860.188569,186.3,0.100,1.00,0.571,2.69,0.02,28°,34°,-120°,
SUM,4/6/2022 12:44:59 PM,1649249099,1478,N,not shaded,1860.386728,1277.8,0.687,1.00,0.571,0.57,0.63,28°,34°,-120°,
SUM,4/6/2022 12:45:15 PM,1649249115,1478,E,,1860.59992,278.0,0.149,1.00,0.571,2.22,0.02,28°,34°,-120°,
SUM,4/6/2022 1:07:54 PM,1649250474,2048,S,,1866.698302,297.1,0.159,1.00,0.571,2.15,0.02,28°,34°,-120°,
SUM,4/6/2022 1:08:19 PM,1649250499,2048,W,,1866.917742,819.2,0.439,1.00,0.571,1.01,0.16,28°,34°,-120°,
SUM,4/6/2022 1:08:36 PM,1649250516,2048,N,partly shaded,1867.06638,191.4,0.103,1.00,0.571,2.66,0.02,28°,34°,-120°,
SUM,4/6/2022 1:08:53 PM,1649250533,2048,E,,1867.211552,432.2,0.231,1.00,0.571,1.71,0.02,28°,34°,-120°,
SUM,4/6/2022 1:09:37 PM,1649250577,2023,S,,1867.552798,339.4,0.182,1.00,0.571,2.00,0.02,28°,34°,-120°,
SUM,4/6/2022 1:09:50 PM,1649250590,2023,W,,1867.639281,426.8,0.229,1.00,0.571,1.73,0.02,28°,34°,-120°,
SUM,4/6/2022 1:10:11 PM,1649250611,2023,N,partly shaded,1867.760427,1191.5,0.638,1.00,0.571,0.67,0.60,28°,34°,-120°,
SUM,4/6/2022 1:11:07 PM,1649250667,2023,E,,1867.971067,1127.4,0.604,1.00,0.571,0.71,0.47,28°,34°,-120°,
SUM,4/6/2022 1:11:51 PM,1649250711,2022,S,,1868.037172,136.2,0.073,1.00,0.571,3.06,0.02,28°,34°,-120°,
SUM,4/6/2022 1:12:06 PM,1649250726,2022,W,,1868.042704,244.5,0.131,1.00,0.571,2.38,0.02,28°,34°,-120°,
SUM,4/6/2022 1:12:23 PM,1649250743,2022,N,shaded by trunk,1868.039735,69.8,0.037,1.00,0.571,3.85,0.02,28°,34°,-120°,
SUM,4/6/2022 1:13:56 PM,1649250836,2022,E,,1867.887314,143.8,0.077,1.00,0.571,3.00,0.02,28°,34°,-120°,
SUM,4/6/2022 1:14:20 PM,1649250860,2021,S,shaded by large branch,1867.821648,246.0,0.132,1.00,0.571,2.37,0.02,28°,34°,-120°,
SUM,4/6/2022 1:14:56 PM,1649250896,2021,W,,1867.712598,222.7,0.119,1.00,0.571,2.49,0.02,28°,34°,-120°,
SUM,4/6/2022 1:15:04 PM,1649250904,2021,N,not shaded,1867.687344,139.9,0.075,1.00,0.571,3.03,0.02,28°,34°,-120°,
SUM,4/6/2022 1:16:12 PM,1649250972,2021,E,,1867.452789,142.0,0.076,1.00,0.571,3.01,0.02,28°,34°,-120°,
SUM,4/6/2022 1:16:12 PM,1649250972,2021,O,away from trunk to east,1867.452789,247.0,0.132,1.00,0.571,2.37,0.02,28°,34°,-120°,
SUM,4/6/2022 1:16:57 PM,1649251017,2025,S,,1867.259822,338.3,0.181,1.00,0.571,2.00,0.02,28°,34°,-120°,
SUM,4/6/2022 1:17:20 PM,1649251040,2025,W,,1867.143292,917.8,0.492,1.00,0.571,0.91,0.27,28°,34°,-120°,
SUM,4/6/2022 1:17:35 PM,1649251055,2025,N,partly shaded,1867.05937,921.7,0.494,1.00,0.571,0.91,0.28,28°,34°,-120°,
SUM,4/6/2022 1:17:47 PM,1649251067,2025,E,,1866.987249,482.3,0.258,1.00,0.571,1.58,0.01,28°,34°,-120°,
SUM,4/6/2022 1:18:09 PM,1649251089,2020,S,,1866.842438,133.3,0.071,1.00,0.571,3.09,0.02,28°,34°,-120°,
SUM,4/6/2022 1:18:21 PM,1649251101,2020,W,,1866.756027,146.4,0.078,1.00,0.571,2.98,0.02,28°,34°,-120°,
SUM,4/6/2022 1:18:41 PM,1649251121,2020,N,not shaded,1866.599346,1102.0,0.590,1.00,0.571,0.72,0.40,28°,34°,-120°,
SUM,4/6/2022 1:18:54 PM,1649251134,2020,E,,1866.488442,357.6,0.192,1.00,0.571,1.93,0.02,28°,34°,-120°,
SUM,4/6/2022 1:20:12 PM,1649251212,2026,S,,1865.649902,551.3,0.296,1.00,0.571,1.43,0.02,28°,34°,-120°,
SUM,4/6/2022 1:20:28 PM,1649251228,2026,W,,1865.437607,1143.8,0.613,1.00,0.571,0.71,0.54,28°,34°,-120°,
SUM,4/6/2022 1:20:50 PM,1649251250,2026,N,partly shaded,1865.124247,136.1,0.073,1.00,0.571,3.06,0.02,28°,34°,-120°,
SUM,4/6/2022 1:21:10 PM,1649251270,2026,E,,1864.819263,169.3,0.091,1.00,0.571,2.81,0.02,28°,34°,-120°,
SUM,4/6/2022 1:21:47 PM,1649251307,2027,S,,1864.209501,327.0,0.175,1.00,0.571,2.04,0.02,28°,34°,-120°,
SUM,4/6/2022 1:22:01 PM,1649251321,2027,W,,1863.964868,771.4,0.414,1.00,0.571,1.09,0.18,28°,34°,-120°,
SUM,4/6/2022 1:22:17 PM,1649251337,2027,N,partly shaded,1863.676891,277.9,0.149,1.00,0.571,2.23,0.02,28°,34°,-120°,
SUM,4/6/2022 1:22:32 PM,1649251352,2027,E,,1863.399398,398.0,0.214,1.00,0.571,1.81,0.02,28°,34°,-120°,
SUM,4/6/2022 1:40:23 PM,1649252423,2382,S,,1841.358108,318.0,0.173,1.00,0.576,2.05,0.02,29°,34°,-120°,
SUM,4/6/2022 1:40:40 PM,1649252440,2382,W,,1840.907973,165.7,0.090,1.00,0.576,2.82,0.02,29°,34°,-120°,
SUM,4/6/2022 1:40:56 PM,1649252456,2382,N,shaded by trunk,1840.500592,354.1,0.192,1.00,0.576,1.93,0.02,29°,34°,-120°,
SUM,4/6/2022 1:41:08 PM,1649252468,2382,E,,1840.204085,189.0,0.103,1.00,0.576,2.66,0.02,29°,34°,-120°,
SUM,4/6/2022 1:42:47 PM,1649252567,2011,S,,1837.930621,321.5,0.175,1.00,0.576,2.04,0.02,29°,34°,-120°,
SUM,4/6/2022 1:43:11 PM,1649252591,2011,W,,1837.390869,260.5,0.142,1.00,0.576,2.29,0.02,29°,34°,-120°,
SUM,4/6/2022 1:43:26 PM,1649252606,2011,N,partly shaded,1837.04869,290.6,0.158,1.00,0.576,2.16,0.02,29°,34°,-120°,
SUM,4/6/2022 1:43:39 PM,1649252619,2011,E,,1836.747464,385.3,0.210,1.00,0.576,1.83,0.02,29°,34°,-120°,
SUM,4/6/2022 1:51:15 PM,1649253075,2355,S,,1823.996927,393.9,0.216,1.00,0.582,1.79,0.02,30°,34°,-120°,
SUM,4/6/2022 1:51:37 PM,1649253097,2355,W,,1823.569936,201.2,0.110,1.00,0.582,2.58,0.02,30°,34°,-120°,
SUM,4/6/2022 1:51:54 PM,1649253114,2355,N,not shaded,1823.24043,463.1,0.254,1.00,0.582,1.60,0.02,30°,34°,-120°,
SUM,4/6/2022 1:52:04 PM,1649253124,2355,E,,1823.044509,711.6,0.390,1.00,0.582,1.13,0.09,30°,34°,-120°,
SUM,4/6/2022 1:52:36 PM,1649253156,2356,S,,1822.393506,715.0,0.392,1.00,0.582,1.12,0.08,30°,34°,-120°,
SUM,4/6/2022 1:52:51 PM,1649253171,2356,W,,1822.068821,196.8,0.108,1.00,0.582,2.60,0.02,30°,34°,-120°,
SUM,4/6/2022 1:53:12 PM,1649253192,2356,N,partly shaded,1821.584486,553.2,0.304,1.00,0.582,1.38,0.00,30°,34°,-120°,
SUM,4/6/2022 1:53:23 PM,1649253203,2356,E,,1821.314078,923.1,0.507,1.00,0.582,0.87,0.28,30°,34°,-120°,
SUM,4/6/2022 1:53:57 PM,1649253237,2357,S,,1820.38829,899.3,0.494,1.00,0.582,0.89,0.24,30°,34°,-120°,
SUM,4/6/2022 1:54:07 PM,1649253247,2357,W,,1820.085961,1106.0,0.608,1.00,0.582,0.71,0.52,30°,34°,-120°,
SUM,4/6/2022 1:54:22 PM,1649253262,2357,N,shaded by trunk,1819.603065,171.6,0.094,1.00,0.582,2.76,0.02,30°,34°,-120°,
SUM,4/6/2022 1:54:33 PM,1649253273,2357,E,,1819.224746,617.4,0.339,1.00,0.582,1.26,0.01,30°,34°,-120°,
SUM,4/6/2022 1:56:38 PM,1649253398,2359,S,,1813.390588,797.5,0.440,1.00,0.588,1.01,0.18,31°,34°,-120°,
SUM,4/6/2022 1:57:42 PM,1649253462,2359,W,,1809.685232,1276.0,0.705,1.00,0.588,0.41,0.02,31°,34°,-120°,
SUM,4/6/2022 1:57:42 PM,1649253462,2359,N,shaded by trunk,1809.685232,103.1,0.057,1.00,0.588,3.35,0.02,31°,34°,-120°,
SUM,4/6/2022 1:58:09 PM,1649253489,2359,E,,1808.078336,583.8,0.323,1.00,0.588,1.32,0.01,31°,34°,-120°,
SUM,4/6/2022 1:58:32 PM,1649253512,2369,S,,1806.714477,1543.8,0.854,1.00,0.588,0.25,0.77,31°,34°,-120°,
SUM,4/6/2022 1:58:46 PM,1649253526,2369,W,,1805.892975,1412.6,0.782,1.00,0.588,0.39,0.76,31°,34°,-120°,
SUM,4/6/2022 1:59:04 PM,1649253544,2369,N,shaded by trunk,1804.852548,198.2,0.110,1.00,0.588,2.58,0.02,31°,34°,-120°,
SUM,4/6/2022 1:59:25 PM,1649253565,2369,E,,1803.669587,472.1,0.262,1.00,0.588,1.56,0.00,31°,34°,-120°,
SUM,4/6/2022 2:00:03 PM,1649253603,2360,S,,1801.646981,154.3,0.086,1.00,0.588,2.87,0.02,31°,34°,-120°,
SUM,4/6/2022 2:00:16 PM,1649253616,2360,W,,1800.998116,1338.1,0.743,1.00,0.588,0.47,0.72,31°,34°,-120°,
SUM,4/6/2022 2:00:31 PM,1649253631,2360,N,not shaded,1800.277215,1357.9,0.754,1.00,0.588,0.44,0.72,31°,34°,-120°,
SUM,4/6/2022 2:00:45 PM,1649253645,2360,E,,1799.630032,578.5,0.321,1.00,0.588,1.32,0.01,31°,34°,-120°,
SUM,4/8/2022 12:57:03 PM,1649422623,2087,S,,1878.480447,996.4,0.530,1.00,0.566,0.87,0.40,27°,34°,-120°,
SUM,4/8/2022 12:57:19 PM,1649422639,2087,W,,1878.368321,686.7,0.366,1.00,0.566,1.19,0.04,27°,34°,-120°,
SUM,4/8/2022 12:57:36 PM,1649422656,2087,N,shaded by trunk,1878.226061,101.8,0.054,1.00,0.566,3.41,0.02,27°,34°,-120°,
SUM,4/8/2022 12:58:01 PM,1649422681,2087,E,,1877.931049,262.8,0.140,1.00,0.566,2.30,0.02,27°,34°,-120°,
SUM,4/8/2022 12:59:22 PM,1649422762,2091,S,,1875.53614,431.6,0.230,1.00,0.566,1.72,0.02,27°,34°,-120°,
SUM,4/8/2022 12:59:41 PM,1649422781,2091,W,,1874.490081,903.4,0.482,1.00,0.566,0.93,0.24,27°,34°,-120°,
SUM,4/8/2022 12:59:56 PM,1649422796,2091,N,not shaded,1873.493299,254.7,0.136,1.00,0.566,2.33,0.02,27°,34°,-120°,
SUM,4/8/2022 1:00:15 PM,1649422815,2091,E,,1871.990295,93.1,0.050,1.00,0.566,3.51,0.02,27°,34°,-120°,
SUM,4/8/2022 1:01:45 PM,1649422905,2092,S,,1860.37863,956.4,0.514,1.00,0.566,0.85,0.26,27°,34°,-120°,
SUM,4/8/2022 1:01:59 PM,1649422919,2092,W,,1857.781925,442.8,0.238,1.00,0.566,1.68,0.02,27°,34°,-120°,
SUM,4/8/2022 1:02:14 PM,1649422934,2092,N,shaded by trunk,1854.727825,55.7,0.030,1.00,0.566,4.10,0.02,27°,34°,-120°,
SUM,4/8/2022 1:02:31 PM,1649422951,2092,E,,1850.909172,782.0,0.422,1.00,0.566,1.04,0.10,27°,34°,-120°,
SUM,4/8/2022 1:03:53 PM,1649423033,2090,S,full sun,1826.51797,1427.0,0.781,1.00,0.566,0.40,0.75,27°,34°,-120°,
SUM,4/8/2022 1:04:09 PM,1649423049,2090,W,,1820.480679,588.7,0.323,1.00,0.566,1.32,0.01,27°,34°,-120°,
SUM,4/8/2022 1:04:23 PM,1649423063,2090,N,full sun,1814.823224,1801.1,0.992,1.00,0.566,0.01,0.89,27°,34°,-120°,
SUM,4/8/2022 1:04:39 PM,1649423079,2090,E,,1807.913936,482.0,0.267,1.00,0.566,1.54,0.00,27°,34°,-120°,
SUM,4/8/2022 1:04:56 PM,1649423096,2090,O,,1800.036114,910.7,0.506,1.00,0.566,0.88,0.28,27°,34°,-120°,
SUM,4/8/2022 1:05:10 PM,1649423110,2090,O,,1793.122884,489.6,0.273,1.00,0.566,1.51,0.00,27°,34°,-120°,
SUM,4/8/2022 1:05:21 PM,1649423121,2090,O,,1787.438587,268.9,0.150,1.00,0.566,2.22,0.02,27°,34°,-120°,
SUM,4/8/2022 1:05:30 PM,1649423130,2090,O,,1782.640728,441.7,0.248,1.00,0.566,1.63,0.02,27°,34°,-120°,
SUM,4/8/2022 1:07:09 PM,1649423229,2089,S,,1724.93409,41.5,0.024,1.00,0.566,4.36,0.02,27°,34°,-120°,
SUM,4/8/2022 1:07:40 PM,1649423260,2089,W,,1706.681621,695.5,0.408,1.00,0.566,1.06,0.05,27°,34°,-120°,
SUM,4/8/2022 1:07:58 PM,1649423278,2089,N,not shaded,1696.433879,369.0,0.218,1.00,0.566,1.79,0.02,27°,34°,-120°,
SUM,4/8/2022 1:08:22 PM,1649423302,2089,E,,1683.390858,39.0,0.023,1.00,0.566,4.41,0.02,27°,34°,-120°,
SUM,4/8/2022 1:09:30 PM,1649423370,2090,S,full sun,1652.345906,1285.5,0.778,1.00,0.566,0.39,0.65,27°,34°,-120°,
SUM,4/8/2022 1:10:10 PM,1649423410,2090,W,shaded by trunk,1639.865659,229.8,0.140,1.00,0.566,2.30,0.02,27°,34°,-120°,
SUM,4/8/2022 1:10:22 PM,1649423422,2090,N,full sun,1637.130473,1771.0,1.082,1.00,0.566,-0.14,0.87,27°,34°,-120°,
SUM,4/8/2022 1:10:40 PM,1649423440,2090,E,,1633.845907,650.8,0.398,1.00,0.566,1.08,0.03,27°,34°,-120°,
SUM,4/8/2022 1:10:55 PM,1649423455,2090,O,,1631.803942,169.0,0.104,1.00,0.566,2.65,0.02,27°,34°,-120°,
SUM,4/8/2022 1:11:02 PM,1649423462,2090,O,,1631.05213,539.7,0.331,1.00,0.566,1.29,0.02,27°,34°,-120°,
SUM,4/8/2022 1:11:09 PM,1649423469,2090,O,,1630.421296,302.9,0.186,1.00,0.566,1.97,0.02,27°,34°,-120°,
SUM,4/8/2022 1:11:21 PM,1649423481,2090,O,,1629.606723,360.7,0.221,1.00,0.566,1.76,0.02,27°,34°,-120°,
SUM,4/8/2022 1:11:36 PM,1649423496,2090,O,,1629.02862,209.3,0.128,1.00,0.566,2.40,0.02,27°,34°,-120°,
SUM,4/8/2022 1:11:48 PM,1649423508,2090,O,,1628.887108,353.3,0.217,1.00,0.566,1.79,0.02,27°,34°,-120°,
SUM,4/8/2022 1:17:59 PM,1649423879,2086,S,,1647.202985,749.3,0.455,1.00,0.566,0.96,0.14,27°,34°,-120°,
SUM,4/8/2022 1:18:13 PM,1649423893,2086,W,,1647.254547,805.1,0.489,1.00,0.566,0.88,0.14,27°,34°,-120°,
SUM,4/8/2022 1:18:32 PM,1649423912,2086,N,not shaded,1647.447805,902.3,0.548,1.00,0.566,0.77,0.24,27°,34°,-120°,
SUM,4/8/2022 1:18:48 PM,1649423928,2086,E,,1647.754512,449.5,0.273,1.00,0.566,1.52,0.02,27°,34°,-120°,
SUM,4/8/2022 1:23:17 PM,1649424197,2085,S,,1682.383331,200.9,0.119,1.00,0.571,2.49,0.02,28°,34°,-120°,
SUM,4/8/2022 1:23:28 PM,1649424208,2085,W,,1684.285547,334.7,0.199,1.00,0.571,1.89,0.02,28°,34°,-120°,
SUM,4/8/2022 1:23:40 PM,1649424220,2085,N,not shaded,1686.30689,1301.0,0.772,1.00,0.571,0.41,0.69,28°,34°,-120°,
SUM,4/8/2022 1:23:56 PM,1649424236,2085,E,,1688.89284,489.7,0.290,1.00,0.571,1.45,0.02,28°,34°,-120°,
SUM,4/8/2022 1:27:29 PM,1649424449,2093,S,,1703.898616,275.6,0.162,1.00,0.571,2.13,0.02,28°,34°,-120°,
SUM,4/8/2022 1:27:41 PM,1649424461,2093,W,,1703.929432,534.4,0.314,1.00,0.571,1.35,0.00,28°,34°,-120°,
SUM,4/8/2022 1:27:54 PM,1649424474,2093,N,not shaded,1703.931729,139.3,0.082,1.00,0.571,2.93,0.02,28°,34°,-120°,
SUM,4/8/2022 1:28:19 PM,1649424499,2093,E,,1703.888768,290.8,0.171,1.00,0.571,2.07,0.02,28°,34°,-120°,
SUM,4/8/2022 1:33:31 PM,1649424811,2091,S,,1715.226155,703.1,0.410,1.00,0.571,1.06,0.06,28°,34°,-120°,
SUM,4/8/2022 1:33:48 PM,1649424828,2091,W,,1715.735365,345.2,0.201,1.00,0.571,1.88,0.02,28°,34°,-120°,
SUM,4/8/2022 1:34:02 PM,1649424842,2091,N,not shaded,1716.027621,443.0,0.258,1.00,0.571,1.58,0.01,28°,34°,-120°,
SUM,4/8/2022 1:34:15 PM,1649424855,2091,E,,1716.183103,512.1,0.298,1.00,0.571,1.41,0.00,28°,34°,-120°,
SUM,4/8/2022 2:03:07 PM,1649426587,2088,S,,1801.333544,277.0,0.154,1.00,0.588,2.19,0.02,31°,34°,-120°,
SUM,4/8/2022 2:03:15 PM,1649426595,2088,W,,1801.073657,340.9,0.189,1.00,0.588,1.95,0.02,31°,34°,-120°,
SUM,4/8/2022 2:03:31 PM,1649426611,2088,N,not shaded,1800.563501,926.3,0.514,1.00,0.588,0.87,0.33,31°,34°,-120°,
SUM,4/8/2022 2:03:44 PM,1649426624,2088,E,,1800.160292,431.3,0.240,1.00,0.588,1.66,0.00,31°,34°,-120°,
SUM,4/15/2022 1:15:31 PM,1650028531,2315/2314/2312/2311,S,,0,1495.3,#DIV/0!,1.00,0.556,#DIV/0!,0.72,25°,34°,-120°,
SUM,4/15/2022 1:15:49 PM,1650028549,2315/2314/2312/2311,W,,0,669.5,#DIV/0!,1.00,0.556,#DIV/0!,0.05,25°,34°,-120°,
